Record,Description,Connection strength,Preferred Stage,Preferred Sector
Antler,"Antler is a global early-stage venture capital firm that empowers exceptional founders to build and scale startups from day zero. With a presence in 25 cities across six continents, Antler provides founders with access to a global community, expert adv...",Very weak,"Angel,Pre-Seed,Seed,Series A,Early Stage","AI,FinTech,Healthcare,Consumer,Cloud Computing,Social Media,E-Commerce / Marketplaces"
MANTIS Venture Capital,"Mantis operates as an early-stage venture fund, collaborating with The Chainsmokers to invest in innovative startups and technologies.",Weak,"Angel,Seed,Early Stage","AI,Blockchain,FinTech,Consumer,Cloud Computing,E-Commerce / Marketplaces"
Techstars,"Techstars is a global startup network that accelerates success for entrepreneurs through mentorship, investment, and innovation, supporting over 1,000 companies with a market cap of $8.1 billion.",Very strong,"Seed,Series A,Early Stage",
Apeiron Investment Group,"Apeiron Investment Group is a family office and private investment firm led by entrepreneur Christian Angermayer. They invest in companies shaping the Next Human Agenda, focusing on Life Sciences, FinTech & Crypto, Future Tech, and Experiences.",Very strong,,"Crypto,FinTech,Biotech / Life Sciences"
Corigin,"Corigin is a privately held, leading real estate investment company based in New York City. Corigin creates growth for clients through insights and innovations in real estate and venture capital. Corigin is a private real estate investment firm that sp...",Very weak,,
CMT Digital Ventures,"CMT Digital is an investment firm specializing in crypto asset trading and blockchain technology investments, while also engaging in legal and policy matters to support the growth of digital asset ventures.",Very weak,,"Crypto,Blockchain"
Original Capital,Original Capital: Venture capital and private equity firm specializing in investing in promising businesses.,Weak,,
JVP Cyber Labs,"Jerusalem Venture Partners (JVP) is an internationally recognized venture capital fund with a focus on Digital Media, Storage, Infrastructure, and Cybersecurity. Established in 1993, JVP has raised over $1.4 billion and has built over 140 companies glo...",Very weak,"Seed,Series A,Series B,Early Stage",Cybersecurity
Athenian Capital,Athenian Capital is a venture capital and private equity firm that invests in early-stage companies.,Very weak,"Angel,Pre-Seed,Seed,Early Stage",
Uncork Capital,"Uncork Capital is a seed stage venture firm that focuses on early investments, providing essential support to startups during challenging phases, and maintaining long-term involvement to foster their growth.",Very weak,"Angel,Pre-Seed,Seed,Early Stage","FinTech,E-Commerce / Marketplaces"
Sand Hill Angels,Sand Hill Angels: Silicon Valley executives investing in disruptive startups with 'Smart Money' and expertise in deep technology scaling.,Very weak,"Angel,Seed,Series A,Early Stage","AI,Blockchain,FinTech,Healthcare,Big Data,Cloud Computing,Cybersecurity,Climate Tech,Robotics"
Caladan Capital,"Caladan is a pioneering market maker in digital assets, utilizing thousands of algorithms to generate exceptional returns across over 1,000 digital assets and 65 exchanges, both centralized and decentralized, since 2017.",Good,,"Crypto,Blockchain,FinTech"
DASH Ventures,"DASH Ventures is an early stage venture capital firm based in Amman, Jordan, supporting startups in the Arab World and beyond to build sustainable companies in technology, healthcare, and finance.",Very weak,"Pre-Seed,Seed,Series A,Early Stage","FinTech,Healthcare"
Polymath Capital,"Polymath Capital is a remote-first venture capital firm that focuses on investing in pre-seed and seed-stage startups, prioritizing community engagement, sustainability, and the democratization of finance while partnering with ambitious founders to fos...",Very weak,"Pre-Seed,Seed",
Riverside Ventures,"Riverside Ventures is an early stage venture capital fund founded by high level and experienced operators with an untraditional path into venture. The company focuses on providing venture capital and private equity services, led by Principals with exte...",Very weak,"Angel,Seed,Series A,Early Stage",
1RT Fund,"1RoundTable Partners is a growth equity fund specializing in investing in mid to late-stage companies within the Digital Asset Ecosystem (DAE). Leveraging its macro investing process and deep industry knowledge, 1RT aims to provide de-risked exposure t...",Very weak,"Growth Stage,Late Stage","Crypto,Blockchain,FinTech"
Andreessen Horowitz,"Andreessen Horowitz is a venture capital firm that invests in innovative technology startups, supporting entrepreneurs from seed funding to growth stages to foster the development of the future through software and technology.",Very strong,"Seed,Early Stage,Growth Stage","Web3,Crypto,AI,Blockchain,FinTech"
Extera Partners,"Extera Partners specializes in building and commercializing new life science ventures by leveraging unique deal flow, a team of industry leaders, and a robust network of investors to generate substantial financial returns through strategic transactions...",Very weak,"Seed,Series A,Early Stage,Growth Stage","Healthcare,Biotech / Life Sciences"
gumi Cryptos Capital,"gumi Cryptos Capital (gCC) is a boutique early stage venture capital firm based in Silicon Valley. Since 2018, gCC has been investing in blockchain and cryptographic assets, supporting innovative projects from L1 to the application layer. With a focus ...",Very weak,"Pre-Seed,Seed,Early Stage","Crypto,Blockchain"
APED Capital,APED Capital is a venture capital fund that specializes in investing in early stage web3 and blockchain companies. They provide funding and support to help these companies grow and succeed in the digital asset space. With a focus on web3 technologies a...,Very weak,"Angel,Seed,Early Stage","Web3,Blockchain"
Digital,"DIGITAL is an investment firm that focuses on digital investing in the metaverse, leveraging a cultural perspective to collaborate with emerging iconic companies by recognizing the significance of stories in shaping the future of technology and society.",Very weak,"Seed,Series A,Early Stage",Metaverse
BaseTwo Ventures,"BaseTwo is a boutique advisory and venture capital firm specializing in investing in the future of DLT and Web3. With 10 years of experience in digital assets, we help founders design optimal tokenomics principles and connect them with a wide range of ...",Good,"Seed,Series A,Early Stage","Web3,DeFi,Blockchain"
DAOventures,"DAOventures is a web3 ventures studio specializing in DeFi, Metaverse, NFTs, and more, investing in and supporting innovative teams in the web3 space.",Very strong,"Pre-Seed,Seed,Series A,Early Stage","Web3,DeFi,NFTs,Metaverse"
Jolt VC,,,,
2 Punks Capital,"2 Punks Capital is an early stage investment fund targeting web3, metaverse, NFTs, and gaming startups. They focus on companies building the next generation of consumer blockchain technologies and applications, particularly in the areas of art, fashion...",Very weak,"Angel,Seed,Early Stage","Web3,Blockchain,NFTs,Metaverse"
VitalizeVC,"VITALIZE Venture Capital specializes in venture capital investments focused on early-stage WorkTech startups, leveraging a diverse community of over 500 angel investors and a network of industry experts to drive transformative work outcomes.",Very weak,"Angel,Pre-Seed,Seed,Series A,Early Stage",Collaboration / Productivity Tools
Matrix Partners,"Matrix Partners is a venture capital and private equity firm that works closely with product people from the early stages to Series A rounds. With a focus on building successful companies, Matrix Partners has a strong track record of investments in inn...",Very weak,"Angel,Seed,Series A,Early Stage","AI,FinTech,Healthcare,Cloud Computing,Cybersecurity,Climate Tech"
Ark PES,"Ark PES is a scalable, seamless, and secure private capital fund administration platform tailored for industry leaders in private capital markets.",Very weak,,E-Commerce / Marketplaces
DUO Group,,Weak,,
Lerer Hippeau,"Lerer Hippeau: Early stage VC in NYC, investing in innovative startups to build iconic companies with hands-on support and community spirit.",Very weak,"Angel,Seed,Series A,Early Stage",
Fusion LA,"Fusion VC is Israel's leading pre-seed platform, investing in Israeli early-stage companies to scale in the US market. They provide $150,000 in funding, intensive bootcamps, and support from top-tier global VC firms and serial founders.",Good,"Pre-Seed,Early Stage","FinTech,Healthcare,Insurtech,Biotech / Life Sciences"
Ogroup,"OGroup is a company that has been investing and building in the fields of machine learning and crypto since 2010. They connect founders with promising business opportunities, provide operational and strategic expertise, and leverage their network to ac...",Weak,,"Crypto,Machine Learning"
Asva Ventures,"Asva Ventures is a thesis-driven Web3 fund investing in blockchain companies at early stages, leading and co-investing to accelerate growth in Web 3.0 trends like Defi and NFTs.",,"Angel,Seed,Early Stage","Web3,DeFi,Blockchain,NFTs"
Harlem Capital Partners,"Harlem Capital is a venture capital firm based in New York, NY, with a mission to invest in 1,000 diverse founders over 20 years. They focus on early-stage investments and are led by a team including Gabby Cazeau, Jarrid Tingle, Nicole DeTommaso, Brand...",Weak,"Seed,Series A,Early Stage",
Four Acres,"Four Acres Capital is a New York-based early-stage venture capital firm that specializes in investing in software-first technology companies at the pre-seed and seed stages. They offer entrepreneurs access to a wide network of financial, corporate, and...",Very weak,"Pre-Seed,Seed,Early Stage","AI,FinTech,Enterprise,Big Data,Cloud Computing,Cybersecurity,Mobility / Transportation"
Forum Ventures,Forum Ventures is a leading early-stage B2B SaaS fund and startup accelerator that supports and invests in founders by providing resources and expertise to help them develop successful software-as-a-service ventures from inception to growth.,Good,"Pre-Seed,Seed,Early Stage",E-Commerce / Marketplaces
Plural Energy,"Plural Energy offers on-chain financing solutions that enable individuals to invest in high-yield clean energy infrastructure projects globally, starting with investments as low as $500.",Very weak,,Climate Tech
VanEck,VanEck is an innovative investment management firm with a history of pioneering access to international markets and introducing impactful investment opportunities through active and passive strategies.,Very weak,,
dlab,Earliest-stage venture capital for web3 startups building the infrastructure of our decentralized future.,Weak,"Angel,Pre-Seed,Seed,Early Stage","Web3,Blockchain"
CB Insights,"CB Insights is a technology market intelligence company that predicts technology trends and provides insights on venture capital, startups, and tech news.",Strong,,
BAD BITCH EMPIRE,BAD BITCH EMPIRE is a global community venture collective that elevates visionary female leaders to build empires and invest in high-impact female-led businesses. They provide unapologetic worth and wealth for women through investing in Bad Bitch Busin...,Good,"Angel,Seed,Series A,Early Stage","FinTech,Consumer"
Oceans,"Oceans is a seed stage venture capital firm that focuses on supporting and accelerating teams, rather than just individual founders, by leading pre-seed and seed investments and providing guidance on talent recruitment and business model development.",Very weak,"Pre-Seed,Seed",
Contango Digital,Contango Digital Assets is a Canadian venture capital firm fueling the financial revolution by investing in innovative start-ups and accelerating global adoption of decentralized technology.,Very weak,,"Web3,Crypto,Blockchain,FinTech"
J17 Capital,"J17 Capital is a venture capital firm specializing in growth equity investments for middle to late-stage entities in North America, focusing on technology, pharmaceuticals, and therapeutics to accelerate business development and innovation.",Very weak,"Growth Stage,Late Stage","AI,Healthcare,Biotech / Life Sciences"
Creator Capital,"Creator Capital is a venture studio that focuses on the creator economy. They provide investment and advisory services to creators and help them build and grow their businesses. With their expertise and network, Creator Capital supports creators in nav...",Very weak,"Angel,Seed,Series A,Early Stage",Creator Economy
Borderless Capital,"Borderless Capital supports creators driving innovative technologies for borderless value creation, empowering founders and investing in Algorand and EdgeFi ecosystems.",Very weak,,"AI,Blockchain,FinTech,E-Commerce / Marketplaces"
J&T Ventures,"J&T Ventures specializes in investing in exceptional early-stage teams, providing long-term partnerships and strategic guidance to startups, particularly in the areas of growth, fundraising, and international expansion within the CEE region.",Very weak,"Seed,Series A,Early Stage",
Grand Ventures,"Grand Ventures is an early-stage venture fund located in Grand Rapids, MI, focused on investing in and supporting innovative startups.",Very weak,"Pre-Seed,Seed,Early Stage",
Exceptionalcap,We are immeasurably passionate about the companies we help build and the entrepreneurs who create them.,Very weak,,"FinTech,E-Commerce / Marketplaces"
Apollo,"Apollo Global Management is a leading provider of alternative asset management and retirement solutions, empowering retirees and financing businesses with innovative capital solutions for growth and financial security.",Very weak,,
Emerging LA,"Community of 12K+ founders, investors & operators collaborating through content and events to shape the future of tech innovation in Los Angeles",Good,,
xffirmers,"AngelList develops comprehensive software solutions that facilitate capital management and enhance investor relations for startups, venture funds, and private equity firms, thereby driving innovation within the startup economy.",Weak,"Angel,Seed,Early Stage",
GFR Fund,GFR Fund is a venture capital fund based in San Francisco that focuses on investing in early-stage technology startups that are innovating within the digital media and entertainment sectors.,Very weak,"Angel,Seed,Early Stage","AI,Consumer,Big Data,Creator Economy"
Exitfund,"Exitfund is a VC and PE firm investing in gritty founders in India & USA, with a software platform for angel investors to participate.",Very strong,"Angel,Seed,Series A,Series B,Early Stage","FinTech,E-Commerce / Marketplaces"
Patron,"Patron is an early stage venture firm investing in the convergence of games and consumer startups, known as the Spectrum of Play. The team consists of experienced builders and founders dedicated to shaping the future of the industry, with key members h...",Very weak,"Angel,Seed,Early Stage",Consumer
FinTech Collective,"FinTech Collective is a venture capital firm that invests globally in generational companies, focusing on capital markets, wealth management, banking, lending, payments, and insurance. They support founders in building exceptional companies by providin...",Very weak,"Seed,Series A,Early Stage,Growth Stage",FinTech
Target Global,"Target Global is a pan-European tech investment firm with €3bn+ assets under management, backing unicorns like Delivery Hero and Revolut to target trillion-dollar markets.",Very weak,,
SevenX Ventures,"SevenX Ventures is a research-driven crypto venture capital firm founded in 2020. The company bridges different cultures and empowers blockchain's united future, focusing on investment management in a world yearning for ownership of identity and data, ...",Very weak,,"Crypto,Blockchain"
OffStage Holdings,"OffStage Holdings specializes in identifying and investing in innovative startups within the fields of artificial intelligence, blockchain technology, and software as a service, having deployed over $1.5 million in seed investments in 2023.",Very weak,"Angel,Seed","AI,Blockchain,Cloud Computing"
Castle Island Ventures,"Castle Island Ventures is an early stage venture capital firm based in Cambridge, Massachusetts, exclusively focused on public blockchains. They invest in infrastructure and application companies to enable transformative protocols for the next billion ...",Weak,"Angel,Seed,Early Stage",Blockchain
Alpaca VC,"Alpaca VC is a seed stage venture capital firm in New York, empowering founders to innovate at the intersection of digital and physical worlds for impactful real-world commerce.",Very strong,"Angel,Seed,Early Stage","Consumer,E-Commerce / Marketplaces"
8186 Capital,8186 Capital is a Shanghai-based early-stage token fund investing in blockchain ventures and enabling liquidity in the space.,Very weak,"Pre-Seed,Seed,Early Stage",Blockchain
Candor ventures,"Candor Ventures is a startup studio and venture builder that partners with founders to build, fund, and scale tech companies. They offer instant B2B payments, handwritten notes, and empower skilled talent.",Very weak,"Seed,Series A,Early Stage",Enterprise
Costanoa Ventures,"Costanoa Ventures is an early-stage venture capital firm that specializes in seed and Series A investments. They back technical founders from company formation and provide support to accelerate growth. With a focus on helping startups succeed, Costanoa...",Very weak,"Seed,Series A,Early Stage",Enterprise
Ambition VC,"Ambition.VC is a venture capital firm that supports founders in building enduring companies and iconic brands. They invest in early-stage technology companies, focusing on marketplaces undergoing massive shifts and technologies that catalyze those shif...",Very weak,"Pre-Seed,Seed,Series A,Early Stage",E-Commerce / Marketplaces
banklessvc,"Bankless Ventures is an early stage Web3 Venture fund empowering pioneers to explore the frontier of Web3. With BVCI, a $30M fund, they aim to support innovators in going #bankless.",Weak,"Angel,Seed,Early Stage","Web3,Crypto,FinTech"
Supernode Ventures,"Supernode Ventures, founded in 2017 by Laurel Touby, is a pre-series A venture fund specializing in investing in women's health companies and early-stage tech startups across various sectors. With a network of over 50 founders and executives, Supernode...",Weak,"Pre-Seed,Series A,Early Stage","AI,Healthcare,Consumer"
NFX,NFX is a venture capital firm specializing in pre-seed and seed stage investments. They support exceptional founders in building market-transforming companies and operate as an invite-only guild for digital networks and marketplaces. NFX emphasizes the...,Very strong,"Pre-Seed,Seed","Creator Economy,E-Commerce / Marketplaces"
Agetech News,"Agetech News: The top source for Agetech news, offering insights on technology for older adults and caregivers, including fundings, exits, and opportunities.",Weak,,Healthcare
Gradient Ventures,"Gradient Ventures is a venture capital and private equity firm that specializes in helping founders build transformational AI companies. They provide hands-on support in product development, marketing, sales, and talent acquisition, with expertise in d...",Very weak,"Angel,Seed,Series A,Early Stage",AI
Fundamental Labs,"CTH is a prominent investment firm focused on harnessing the transformative potential of blockchain technology through venture capital investment, secondary markets, and infrastructure development, aiming to capitalize on the significant benefits of di...",Very weak,,Blockchain
Ligo Partners LLC,"Ligo Partners is a Miami-based single family office co-investing in disruptive tech deals with a global network of investors, focusing on unique and resilient technology investments.",Very strong,"Seed,Series A,Series B,Early Stage,Growth Stage",
Protofund Mortgage,"Protofund is an early stage venture firm founded by builders, for builders. Co-founded by Edward A. Moncada and Jonathan W. Chu, Protofund focuses on providing venture capital and private equity to support innovative startups.",Very weak,"Angel,Seed,Early Stage",
Galaxy Interactive,"Galaxy Interactive is an industry-leading global venture capital fund under Galaxy (TSX: GLXY), specializing in investing in video games, digital media, immersive virtual worlds, web3, and technology. With a focus on interactive content, technology, an...",Very weak,"Series A,Series B,Early Stage,Growth Stage,Late Stage",Web3
Pear VC,"Pear VC is an early-stage venture fund that specializes in pre-seed and seed investments, partnering with exceptional founders to transform innovative ideas into category-defining companies.",Good,"Pre-Seed,Seed,Early Stage",
Twelve Below,"NYC-based seed VC firm partnering with exceptional founders in fintech, healthcare, and energy sectors to build innovative software and internet businesses.",Very weak,"Angel,Pre-Seed,Seed","FinTech,Healthcare,Consumer"
Atypical Ventures,Atypical Ventures invests in empathetic engineers who create fundamental building blocks for innovative technologies and solutions.,Very weak,,"AI,Blockchain,FinTech,Healthcare,Big Data,Cloud Computing,Cybersecurity,Robotics"
Riot Ventures,"Riot Ventures is a VC firm specializing in deep tech investments, offering a range of innovative solutions from program management software to AI fraud detection.",Weak,,"AI,FinTech,Enterprise,Big Data,Cloud Computing,Cybersecurity,Robotics"
seasideventures,"Seaside Ventures focuses on investing in and guiding innovations in consumer health technology, aiming to enhance mental and physical well-being while addressing longstanding health challenges within the expansive healthcare market.",Very weak,"Angel,Seed,Series A,Early Stage","AI,Healthcare,Consumer"
ANIMO Ventures,"ANIMO Ventures is a venture capital and private equity firm founded by Nico, a seasoned investor with a global perspective. With a background in leading non-profits and angel investing, ANIMO Ventures focuses on early-stage investments, backing innovat...",Very weak,"Angel,Seed,Early Stage",
357 Investments,"357 Investments, founded in 2011, is a boutique private portfolio management team specializing in real estate investments and technology startups. With over ten years of experience in real estate services, including leasing, acquisition, and asset mana...",Very weak,"Seed,Series A,Series B,Early Stage","AI,FinTech,Healthcare,Big Data,Cloud Computing,Robotics"
Picks and Shovels,"Picks and Shovels is an operator-led VC firm specializing in investing in pre-seed and seed-stage startups that provide tools and infrastructure for industries like crypto, fintech, and other less glamorous sectors. They focus on supporting founders wh...",Weak,"Pre-Seed,Seed","Crypto,FinTech"
Embedded Ventures,"Embedded Ventures is an early stage deep tech venture capital firm based in Los Angeles, California. Co-founded by Jenna Bryant and Jordan Noone, the company focuses on investing in early stage startups with applications that can serve the Department o...",Very weak,"Seed,Early Stage","AI,Healthcare,Machine Learning,Cloud Computing,Cybersecurity,Mobility / Transportation,Robotics,Semiconductors,Defense Tech"
CMCC Global,"CMCC Global is a venture capital firm that focuses solely on blockchain technology investments. With offices in North America, Asia, and Europe, the company manages multiple funds and has a global presence. It is known for being one of the earliest ins...",Good,,
Grit Capital Partners,"Grit Capital Partners is a disciplined investment firm that operates and invests in innovative companies, including those pioneering applied AI technologies for communication and transforming the sports betting landscape with AI-driven pricing solutions.",Very weak,,
Influence.vc,InfluenceVentures is a venture capital firm that combines investment syndicate with influencer marketing expertise to drive success for portfolio companies and increase returns for investors. They offer capital and influencer support to their exclusive...,Very weak,,
